geo_scope_name,agent_id,badgeValue,time_scope,geo_scope,badge_type
Sweden,4299,1.0,LastYear,country,MostTrustWorthy
bromma,1949,0.7752,LastYear,city,MostTrustWorthy
enskede,4036,0.963,LastYear,city,MostTrustWorthy
gustavsberg,2826,0.8,LastYear,city,MostTrustWorthy
göteborg,1643,0.0386,LastYear,city,MostTrustWorthy
handen,4910,0.9492,LastYear,city,MostTrustWorthy
helsingborg,4158,0.2025,LastYear,city,MostTrustWorthy
hjälteby,4299,1.0,LastYear,city,MostTrustWorthy
höllviken,3351,0.0,LastYear,city,MostTrustWorthy
järfälla,1993,0.8491,LastYear,city,MostTrustWorthy
karlskrona,4918,0.875,LastYear,city,MostTrustWorthy
kista,3996,0.1505,LastYear,city,MostTrustWorthy
kristianstad,3328,0.1216,LastYear,city,MostTrustWorthy
kungsbacka,4770,0.6019,LastYear,city,MostTrustWorthy
kungsängen,2499,1.0,LastYear,city,MostTrustWorthy
lund,1221,0.8713,LastYear,city,MostTrustWorthy
malmö,4115,0.9714,LastYear,city,MostTrustWorthy
norrköping,4207,1.0,LastYear,city,MostTrustWorthy
nyköping,4704,0.5957,LastYear,city,MostTrustWorthy
nynäshamn,1244,0.0,LastYear,city,MostTrustWorthy
skanör,1690,0.0,LastYear,city,MostTrustWorthy
solna,3990,0.7115,LastYear,city,MostTrustWorthy
stockholm,29,0.9545,LastYear,city,MostTrustWorthy
sundbyberg,1891,0.0,LastYear,city,MostTrustWorthy
svedala,3023,0.0,LastYear,city,MostTrustWorthy
täby,2781,0.5541,LastYear,city,MostTrustWorthy
umeå,4690,0.7333,LastYear,city,MostTrustWorthy
uppsala,3892,1.0,LastYear,city,MostTrustWorthy
vallentuna,234,0.0,LastYear,city,MostTrustWorthy
vällingby,3681,1.0,LastYear,city,MostTrustWorthy
älvsjö,244,0.0,LastYear,city,MostTrustWorthy
årsta,4849,1.0,LastYear,city,MostTrustWorthy
örebro,2512,0.9859,LastYear,city,MostTrustWorthy
kungsholmen,3057,1.0,LastYear,geo_5_name,MostTrustWorthy
norrmalm,29,0.9545,LastYear,geo_5_name,MostTrustWorthy
södermalm,400,0.8692,LastYear,geo_5_name,MostTrustWorthy
stadshagen,4291,0.0,LastYear,geo_6_name,MostTrustWorthy
södra-hammarbyhamnen,2035,0.5952,LastYear,geo_6_name,MostTrustWorthy
vasastan,1827,0.642,LastYear,geo_6_name,MostTrustWorthy
Sweden,4299,1.0,HalfYear,country,MostTrustWorthy
bromma,1949,0.7752,HalfYear,city,MostTrustWorthy
enskede,4036,0.963,HalfYear,city,MostTrustWorthy
gustavsberg,2826,0.8,HalfYear,city,MostTrustWorthy
göteborg,1640,0.9773,HalfYear,city,MostTrustWorthy
handen,4910,0.9492,HalfYear,city,MostTrustWorthy
helsingborg,4158,0.2025,HalfYear,city,MostTrustWorthy
hjälteby,4299,1.0,HalfYear,city,MostTrustWorthy
höllviken,3351,0.0,HalfYear,city,MostTrustWorthy
järfälla,1993,0.8491,HalfYear,city,MostTrustWorthy
karlskrona,4918,0.875,HalfYear,city,MostTrustWorthy
kista,3996,0.1505,HalfYear,city,MostTrustWorthy
kristianstad,3328,0.1216,HalfYear,city,MostTrustWorthy
kungsbacka,4770,0.6019,HalfYear,city,MostTrustWorthy
kungsängen,2499,1.0,HalfYear,city,MostTrustWorthy
lund,1221,0.8713,HalfYear,city,MostTrustWorthy
malmö,1220,0.9658,HalfYear,city,MostTrustWorthy
norrköping,4207,1.0,HalfYear,city,MostTrustWorthy
nyköping,4704,0.5957,HalfYear,city,MostTrustWorthy
nynäshamn,1244,0.0,HalfYear,city,MostTrustWorthy
solna,3990,0.7115,HalfYear,city,MostTrustWorthy
stockholm,29,0.9545,HalfYear,city,MostTrustWorthy
sundbyberg,1891,0.0,HalfYear,city,MostTrustWorthy
svedala,3023,0.0,HalfYear,city,MostTrustWorthy
täby,2781,0.5541,HalfYear,city,MostTrustWorthy
umeå,4690,0.7333,HalfYear,city,MostTrustWorthy
uppsala,3892,1.0,HalfYear,city,MostTrustWorthy
vallentuna,234,0.0,HalfYear,city,MostTrustWorthy
vällingby,3681,1.0,HalfYear,city,MostTrustWorthy
älvsjö,244,0.0,HalfYear,city,MostTrustWorthy
årsta,4849,1.0,HalfYear,city,MostTrustWorthy
örebro,2512,0.9859,HalfYear,city,MostTrustWorthy
kungsholmen,3057,1.0,HalfYear,geo_5_name,MostTrustWorthy
norrmalm,29,0.9545,HalfYear,geo_5_name,MostTrustWorthy
södermalm,400,0.8692,HalfYear,geo_5_name,MostTrustWorthy
stadshagen,4291,0.0,HalfYear,geo_6_name,MostTrustWorthy
södra-hammarbyhamnen,2035,0.5952,HalfYear,geo_6_name,MostTrustWorthy
vasastan,4140,0.3962,HalfYear,geo_6_name,MostTrustWorthy
Sweden,5229,1.0,Q1,country,MostTrustWorthy
Sweden,1224,57.0,Q1,country,MostReviews
Sweden,406,5.0,Q1,country,HighestRate
bandhagen,570,0.0,Q1,city,MostTrustWorthy
bromma,2291,0.8182,Q1,city,MostTrustWorthy
enskede,582,0.9615,Q1,city,MostTrustWorthy
gustavsberg,2823,1.0,Q1,city,MostTrustWorthy
göteborg,5117,0.963,Q1,city,MostTrustWorthy
handen,4166,0.8519,Q1,city,MostTrustWorthy
helsingborg,4158,0.0,Q1,city,MostTrustWorthy
hjälteby,4302,1.0,Q1,city,MostTrustWorthy
höllviken,4020,0.0,Q1,city,MostTrustWorthy
järfälla,240,1.0,Q1,city,MostTrustWorthy
karlskrona,4917,1.0,Q1,city,MostTrustWorthy
kista,3996,0.8421,Q1,city,MostTrustWorthy
kristianstad,2426,1.0,Q1,city,MostTrustWorthy
kungsbacka,4770,0.7692,Q1,city,MostTrustWorthy
kungsängen,2499,0.7,Q1,city,MostTrustWorthy
luleå,5301,0.3095,Q1,city,MostTrustWorthy
lund,1221,0.2424,Q1,city,MostTrustWorthy
malmö,1947,0.963,Q1,city,MostTrustWorthy
nacka,108,0.9118,Q1,city,MostTrustWorthy
norrköping,4207,1.0,Q1,city,MostTrustWorthy
nyköping,4704,0.8333,Q1,city,MostTrustWorthy
nynäshamn,4506,0.3667,Q1,city,MostTrustWorthy
saltsjö-duvnäs,4981,0.5,Q1,city,MostTrustWorthy
solna,3990,0.3889,Q1,city,MostTrustWorthy
stockholm,698,1.0,Q1,city,MostTrustWorthy
sundbyberg,1891,0.0,Q1,city,MostTrustWorthy
svedala,3023,0.0,Q1,city,MostTrustWorthy
täby,5226,0.9348,Q1,city,MostTrustWorthy
umeå,4697,0.9048,Q1,city,MostTrustWorthy
upplands väsby,420,1.0,Q1,city,MostTrustWorthy
uppsala,2050,0.875,Q1,city,MostTrustWorthy
vallentuna,5229,1.0,Q1,city,MostTrustWorthy
vällingby,4711,1.0,Q1,city,MostTrustWorthy
älvsjö,244,0.0,Q1,city,MostTrustWorthy
årsta,4849,1.0,Q1,city,MostTrustWorthy
