"id","location_id","geo_type","name","identifier","parents"
869,300000,3,"Stockholms län","stockholms-län","{}"
870,300001,3,"Uppsala","uppsala-län","{}"
871,300002,3,"Södermanland","södermanland","{}"
872,300003,3,"Östergötland","östergötland","{}"
873,300004,3,"Jönköping","jönköpings-län","{}"
874,300005,3,"Kronoberg","kronoberg","{}"
875,300006,3,"Kalmar","kalmar-län","{}"
876,300007,3,"Gotland","gotland-län","{}"
877,300008,3,"Blekinge","blekinge","{}"
878,300009,3,"Skåne","skåne","{}"
879,300010,3,"Halland","halland","{}"
880,300011,3,"Västra Götaland","västra-götaland","{}"
881,300012,3,"Värmland","värmland","{}"
882,300013,3,"Örebro","örebro-län","{}"
883,300014,3,"Västmanland","västmanland","{}"
884,300015,3,"Dalarna","dalarna","{}"
885,300016,3,"Gävleborg","gävleborg","{}"
886,300017,3,"Västernorrland","västernorrland","{}"
887,300018,3,"Jämtland","jämtland","{}"
888,300019,3,"Västerbotten","västerbotten","{}"
889,300020,3,"Norrbotten","norrbotten","{}"
890,400000,4,"Upplands Väsby","upplands-väsby","{300000}"
891,400001,4,"Vallentuna","vallentuna","{300000}"
892,400002,4,"Österåker","österåker","{300000}"
1288,600094,6,"Lunda","lunda","{300000,440016,500008}"
907,400017,4,"Södertälje","södertälje","{300000}"
908,400018,4,"Nacka","nacka","{300000}"
1107,400217,4,"Sala","sala","{300014}"
1108,400218,4,"Fagersta","fagersta","{300014}"
1109,400219,4,"Köping","köping","{300014}"
1110,400220,4,"Arboga","arboga","{300014}"
1111,400221,4,"Vansbro","vansbro","{300015}"
1112,400222,4,"Malung-Sälen","malung-sälen","{300015}"
1113,400223,4,"Gagnef","gagnef","{300015}"
1114,400224,4,"Leksand","leksand","{300015}"
1115,400225,4,"Rättvik","rättvik","{300015}"
893,400003,4,"Värmdö","värmdö","{300000}"
1289,600095,6,"Tensta","tensta","{300000,440016,500008}"
945,400055,4,"Mjölby","mjölby","{300003}"
946,400056,4,"Aneby","aneby","{300004}"
947,400057,4,"Gnosjö","gnosjö","{300004}"
948,400058,4,"Mullsjö","mullsjö","{300004}"
949,400059,4,"Habo","habo","{300004}"
950,400060,4,"Gislaved","gislaved","{300004}"
894,400004,4,"Järfälla","järfälla","{300000}"
1290,600096,6,"Nockeby","nockeby","{300000,440016,500005}"
895,400005,4,"Ekerö","ekerö","{300000}"
896,400006,4,"Huddinge","huddinge","{300000}"
1291,600097,6,"Höglandet","höglandet","{300000,440016,500005}"
951,400061,4,"Vaggeryd","vaggeryd","{300004}"
952,400062,4,"Jönköping","jönköping","{300004}"
953,400063,4,"Nässjö","nässjö","{300004}"
954,400064,4,"Värnamo","värnamo","{300004}"
955,400065,4,"Sävsjö","sävsjö","{300004}"
956,400066,4,"Vetlanda","vetlanda","{300004}"
957,400067,4,"Eksjö","eksjö","{300004}"
958,400068,4,"Tranås","tranås","{300004}"
959,400069,4,"Uppvidinge","uppvidinge","{300005}"
960,400070,4,"Lessebo","lessebo","{300005}"
961,400071,4,"Tingsryd","tingsryd","{300005}"
962,400072,4,"Alvesta","alvesta","{300005}"
963,400073,4,"Älmhult","älmhult","{300005}"
964,400074,4,"Markaryd","markaryd","{300005}"
965,400075,4,"Växjö","växjö","{300005}"
966,400076,4,"Ljungby","ljungby","{300005}"
967,400077,4,"Högsby","högsby","{300006}"
968,400078,4,"Torsås","torsås","{300006}"
897,400007,4,"Botkyrka","botkyrka","{300000}"
898,400008,4,"Salem","salem","{300000}"
899,400009,4,"Haninge","haninge","{300000}"
974,400084,4,"Nybro","nybro","{300006}"
900,400010,4,"Tyresö","tyresö","{300000}"
975,400085,4,"Oskarshamn","oskarshamn","{300006}"
976,400086,4,"Västervik","västervik","{300006}"
977,400087,4,"Vimmerby","vimmerby","{300006}"
1116,400226,4,"Orsa","orsa","{300015}"
1117,400227,4,"Älvdalen","älvdalen","{300015}"
1118,400228,4,"Smedjebacken","smedjebacken","{300015}"
1119,400229,4,"Mora","mora","{300015}"
1120,400230,4,"Falun","falun","{300015}"
1121,400231,4,"Borlänge","borlänge","{300015}"
1122,400232,4,"Säter","säter","{300015}"
1123,400233,4,"Hedemora","hedemora","{300015}"
901,400011,4,"Upplands-Bro","upplands-bro","{300000}"
902,400012,4,"Nykvarn","nykvarn","{300000}"
1244,600050,6,"Nälsta","nälsta","{300000,440016,500006}"
1124,400234,4,"Avesta","avesta","{300015}"
1125,400235,4,"Ludvika","ludvika","{300015}"
