"id","created","modified","rating","text","venueid","venuename","agentid","agentname","invite_id"
299635,"2018-01-15 14:03:03.554","2018-01-15 14:03:21.895",5,"Annas fenomenala insats gjorde vår bostadsaffär till en fröjd",3669585,"Våningen & Villan Lund",1221,"Anna Ahlström",1641641
306311,"2018-02-04 13:18:15.7","2018-02-04 13:18:16.827",5,"Mycket trevligt bemötande, kunnig och hjälpsam ",3549970,"HusmanHagberg Nacka",,,1665166
295624,"2018-01-01 18:44:48.647","2018-01-01 18:45:13.2",5,"Duktig mäklare! Patrik är både lyhörd och hjälpsam. Rekommenderas!",3616879,"Våningen & Villan Malmö",2303,"Patrik Truedsson",1566395
295641,"2018-01-02 05:24:18.584","2018-01-02 05:24:48.022",5,"Mycket bra bemötande, man känner sig trygg och väl omhändertagen. ",4013495,"HusmanHagberg Karlstad",,,1573210
295760,"2018-01-02 14:27:30.112","2018-01-02 14:28:20.353",1,"Fick mycket gott första intryck av V&V. Mycket imponerad av homestylingtjänsten. Mäklaren Mikaela Thulin som först gjorde gott första intryck, raserade tyvärr helhetsbilden. Genom att inte kontrollera fakta om lägenhetens storlek, gick hon ut själv först ut med lägre prisnivå än vi avtalat och då bostadsytan blev diskuterbar medförde en försäljning att både jag som säljare och köparen blev missnöjda över priset.",4020527,"Våningen & Villan Malmö City",1220,"Michaela Thulin",1590266
295764,"2018-01-02 14:40:24.79","2018-01-02 14:40:26.093",5,"Bra bemötande och utmärkt service! ",4013503,"HusmanHagberg Gällivare",,,1611688
295842,"2018-01-03 05:55:11.77","2018-01-03 05:55:25.568",5,"Michaela har skött sitt uppdrag på ett mycket proffsigt sätt och vi vill ge henne våra bästa rekommendationer.",1831634,"Erik Olsson Fastighetsförmedling Göteborg",1640,"Michaela Löfgren",1614985
296344,"2018-01-04 15:43:03.869","2018-01-04 15:43:34.675",5,"Jag tycker att Ann-Chatrin har skött sig alldeles utmärkt.",4013495,"HusmanHagberg Karlstad",,,1611118
296411,"2018-01-04 20:45:58.747","2018-01-04 20:46:34.34",5,"Jag är otroligt nöjd med Michaelas jobb. Hon sålde min lägenhet på nolltid och överträffade mina förväntningar vad gäller utfallet av försäljningen - trots en lite orolig marknad.  Profesionell, kompetent, handlingskraftigt och trevlig som person. Jag kan varmt rekommendera Michaela om ni letar efter en mäklare.
",1831634,"Erik Olsson Fastighetsförmedling Göteborg",1640,"Michaela Löfgren",1614984
296730,"2018-01-06 09:42:37.876","2018-01-06 09:42:46.133",5,"Nenad var professionell under hela försäljningsprocessen och jag kände att han tog hand om mig som köpare. Väldigt tydlig, hjälpsam, tillmötesgående och dedikerad. Kan varmt rekommendera honom. ",3549962,"HusmanHagberg Haninge Västerhaninge",4913,"Nenad Markovic",1621523
296906,"2018-01-07 19:54:33.282","2018-01-07 19:54:58.001",5,"Professionell och kunnig mäklare med juridiska kunskaper. 
Trevlig och pålitlig, återkopplar alltid, en bra bollplank för diskussioner.

Informativ och hårt arbetande människa, ihärdig och visionär.",3549962,"HusmanHagberg Haninge Västerhaninge",4913,"Nenad Markovic",1621517
296950,"2018-01-08 08:09:33.222","2018-01-08 08:09:56.849",5,"Han var mycket duktig och ambitiös.",3549962,"HusmanHagberg Haninge Västerhaninge",4913,"Nenad Markovic",1621522
297020,"2018-01-08 10:11:54.174","2018-01-08 10:11:56.858",5,"Enbart positiv upplevelse av HusmanHagberg i Täby! Victor Isaksson var proffsig, trevlig, flexibel och lättillgänglig. Vid frågor och osäkerheter svarade Victor snabbt på både mail och telefon, vilket gjorde att hela försäljningen kändes trygg.

Även att Victor hjälpte till med potentiella objekt för köp var ett trevligt plus i kanten, vilket ytterligare höjde betyget.

Vi kan varmt rekommendera Victor på HusmanHagberg.",3549979,"HusmanHagberg Täby",,,1622738
297021,"2018-01-08 10:11:56.546","2018-01-08 10:12:04.052",5,"Victor på Husman Hagberg i Täby levde upp till alla förväntningar vi hade. Han var rak och tydlig. ",3549979,"HusmanHagberg Täby",,,1622712
297026,"2018-01-08 10:15:40.342","2018-01-08 10:15:57.314",5,"Professionellt och personligt. ",3549979,"HusmanHagberg Täby",,,1622757
297027,"2018-01-08 10:17:33.28","2018-01-08 10:17:56.844",5,"Väldigt bra mäklare. Väldigt nöjd.",3549979,"HusmanHagberg Täby",,,1622817
297032,"2018-01-08 10:26:14.346","2018-01-08 10:26:56.501",5,"Engagerad och förtroendeingivande mäklare med tydlig målbild.

Gav detaljerad information före, under och efter säljprocessen.

Kontinuerlig återkoppling från mäklaren gjorde att vi kände vi hade kontroll på försäljningen, utan några obehagliga överraskningar.",3549979,"HusmanHagberg Täby",,,1622761
297035,"2018-01-08 10:29:59.625","2018-01-08 10:30:03.888",5,"Toppen! Bra på alla sätt o vis o hade stort tålamod med oss. ",3549974,"HusmanHagberg Södermalm & Gamla Stan",405,"Jerry Johnsson",1622848
297038,"2018-01-08 10:37:39.78","2018-01-08 10:37:56.44",5,"                                                                                           ",3549979,"HusmanHagberg Täby",,,1622721
297039,"2018-01-08 10:38:07.276","2018-01-08 10:38:57.242",5,"Jag är jätte nöjd , allt har funkat problem fritt ",3549979,"HusmanHagberg Täby",,,1622754
297052,"2018-01-08 11:08:52.975","2018-01-08 11:08:57.183",5,"Mycket bra, seriös och noggrann mäklare. Allt gick smidigt och jag är mycket nöjd med mäklarens råd och slutpriset. Thomas är en riktig bra mäklare på alla sätt!",3549979,"HusmanHagberg Täby",,,1622808
297055,"2018-01-08 11:13:50.268","2018-01-08 11:13:57.282",5,"Redan vid första kontakten med min mäklare fick jag ett mycket bra intryck.
Hon var trevlig, positiv och professionell.
Försäljningen sköttes på ett fantastiskt sätt.
Jag blev informerad om försäljning proceduren och tips om vad jag kunde bidra med.
Jag blev informerad och kände mig delaktig på ett mycket bra sätt under hela försäljningen.

Anna-Carin Nilsson är personlig, glad, seriös, kunnig och hade full kontroll under hela försäljningen.
Jag kan verkligen rekommendera henne. 
",3549980,"HusmanHagberg Upplands Väsby",,,1567952
297089,"2018-01-08 12:21:08.573","2018-01-08 12:21:56.895",3,"Bra bemötande tycker vi.                      :<)
",3549979,"HusmanHagberg Täby",,,1622740
297102,"2018-01-08 12:56:16.575","2018-01-08 12:56:56.888",5,"Trevligt och förtroendeingivande.",3549979,"HusmanHagberg Täby",,,1622705
297110,"2018-01-08 13:16:02.885","2018-01-08 13:16:04.037",4,"Bra bemötande, dock lite sen med information osv.",3549979,"HusmanHagberg Täby",,,1622736
297111,"2018-01-08 13:16:47.207","2018-01-08 13:16:57.25",5,"Proffsigt bemötande med god tillit. Bra tillgänglighet ",4013496,"HusmanHagberg Karlskrona",4917,"Ida Ivarsson",1622438
297115,"2018-01-08 13:38:18.35","2018-01-08 13:38:56.98",5,"Victor Isaksson mäklare i Täby får 10+ poäng av mig. Han verkligen gjorde sitt bästa att hjälpa mig för att få lägenheten i Täby såld, vilket han gjorde. Hans bemötande mot mig var all förväntan det bästa.  Jag är tacksam att jag fick honom som mäklare. Med vänlig hälsning Raija Andersin",3549979,"HusmanHagberg Täby",,,1622799
297120,"2018-01-08 13:48:19.621","2018-01-08 13:48:57.245",5,"Ett proffsigt bemötande, hjälpsam och har snabb återkoppling",3549974,"HusmanHagberg Södermalm & Gamla Stan",405,"Jerry Johnsson",1622840
