"id","zip_code","municipality","county","lat","lng","locality","locations"
35408,11115,"Lidingö","Stockholm",,,"STOCKHOLM","{300000,400018,440016,400021,500004,600021}"
35409,11120,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001}"
35410,11121,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001}"
35411,11122,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,400020,500001,500013,600012}"
35412,11123,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35413,11124,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001}"
35414,11127,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000,600052,600045}"
35415,11128,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000,500001,600052,600045}"
35416,11129,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000,600045}"
35417,11130,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000,600045}"
35418,11131,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000,600045}"
35419,11134,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001}"
35420,11135,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001}"
35421,11136,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001}"
35422,11137,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001}"
35423,11138,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001}"
35424,11139,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001}"
35425,11140,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35426,11143,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001}"
35427,11144,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001}"
35428,11145,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001}"
35429,11146,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001}"
35430,11147,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,500004}"
35431,11148,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,500000,500004,600045,600105,600106}"
35432,11149,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,500000,500004,600045,600105,600106}"
35433,11151,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001}"
35434,11152,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000,500001,500013,600052,600045}"
35435,11153,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001}"
35436,11156,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001}"
35437,11157,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001}"
35438,11160,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001}"
35439,11161,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35440,11164,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,500013}"
35441,11215,"Stockholm","Stockholm",0,0,"STOCKHOLM","{300000,440016,400020,500005,500013,600102,600070,600072}"
35442,11216,"Stockholm","Stockholm",0,0,"STOCKHOLM","{300000,440016,400020,500013,600102}"
35443,11217,"Stockholm","Stockholm",0,0,"STOCKHOLM","{300000,440016,400020,500013,600102}"
35444,11218,"Stockholm","Stockholm",0,0,"STOCKHOLM","{300000,440016,500013,600070,600102}"
35445,11219,"Stockholm","Stockholm",0,0,"STOCKHOLM","{300000,440016,500013,600044,600102}"
35446,11220,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000,500013,600052,600053}"
35447,11221,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35448,11222,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35449,11223,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35450,11224,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35451,11225,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35452,11226,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35453,11227,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35454,11228,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35455,11229,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35456,11230,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35457,11231,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35458,11232,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35459,11233,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,500013,600012}"
35460,11234,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35461,11235,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000,500013,600053,600044}"
35462,11236,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35463,11237,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
